CASRN,DTXSID,SMILES
104568-29-8,DTXSID70551317,C(CSCCOCCO)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
104568-31-2,DTXSID90551319,C(CSCCS)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
10469-72-4,DTXSID70509772,C(C(F)(SCl)Cl)(F)(F)Cl
104721-32-6,DTXSID50542546,COC(=O)C#CC(C(F)(F)F)(F)F
104729-49-9,DTXSID40446988,C(C(OC(C(F)(F)S(=O)(=O)F)(F)F)(F)F)(F)F
104745-21-3,DTXSID10338649,C[Si](C(C(OC(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(C(C(OC(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)C(C(OC(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F
104818-20-4,DTXSID00569248,C1=CC(=CC(=C1)S(=O)(=O)Cl)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
104857-88-7,DTXSID30146788,COC(=O)CC(=O)C(C(F)(F)F)(F)F
10493-43-3,DTXSID1075305,C(=C(F)F)(OC(C(F)(F)F)(F)F)F
104939-25-5,DTXSID40543663,COC(=O)C1=CC=C(O1)C(C(C(F)(F)F)(F)F)(F)F
10495-86-0,DTXSID10893420,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)[O-].[NH4+]
104986-67-6,DTXSID40761663,C1=CC(=C(N=C1)C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F
105198-06-9,DTXSID40451956,C(C(C(C(F)(F)Br)(F)F)(F)F)(C(C(F)(F)Cl)(F)F)(F)F
105214-13-9,DTXSID30372247,C(C(C(F)(F)S(=O)(=O)Cl)(F)F)(C(F)(F)S(=O)(=O)Cl)(F)F
105263-73-8,DTXSID60543524,C(P(=O)(C(C(F)(F)F)(F)F)Cl)Cl
105311-63-5,DTXSID50761735,C(=C(C(C(F)(F)F)(F)F)F)(C(=C(C(C(F)(F)F)(F)F)F)F)F
105311-66-8,DTXSID10909434,C1(=C(C(C1(C(F)(F)F)F)(F)F)F)F
10534-43-7,DTXSID10547012,C1(=C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)F)C(F)F
105406-41-5,DTXSID20552874,C1=C(C=C(C(=C1Cl)OCC(C(C(C(F)F)(F)F)(F)F)(F)F)Cl)N
105412-23-5,DTXSID30878895,CNC(=S)NCC(C(C(F)(F)F)(F)F)(F)F
105416-14-6,DTXSID40893317,C(C(COP(=O)(O)O)O)C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F
105462-77-9,DTXSID80893316,C1(C(C(C(C(C1(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(C2(C(C(C(C(C2(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)F)F
105579-92-8,DTXSID20276407,C(C(N)(F)F)(C(F)(F)F)(F)F
105602-61-7,DTXSID50381573,C1=CC=C(C=C1)C(=O)CC(C(C(C(C(F)F)(F)F)(F)F)(F)F)O
105602-69-5,DTXSID20761863,CC(C)(C)C(=O)C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
105602-77-5,DTXSID80542670,COC(CC(=O)C1=CC=CC=C1)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
105660-26-2,DTXSID60544571,C(C(C(OS(=O)(=O)F)(F)F)(F)F)(F)F
105774-97-8,DTXSID00896304,C(=C(\F)/I)(\C(C(F)(F)F)(C(F)(F)F)F)/F
105774-98-9,DTXSID10542668,C(#CF)C(C(F)(F)F)(C(F)(F)F)F
105882-88-0,DTXSID40338637,C(C(N(Cl)Cl)(F)F)(N(F)F)(F)F
105923-30-6,DTXSID7073771,C1=CC(=C(C=C1[N+](=O)[O-])Br)NC(=O)C(C(F)(F)F)(C(F)(F)F)F
105923-37-3,DTXSID50896410,C1(=C(C(=C(C(=C1F)F)F)F)F)NC(=O)C(C(F)(F)F)(C(F)(F)F)F
105923-43-1,DTXSID2073772,C1=C(C(=CC(=C1Cl)[N+](=O)[O-])Cl)NC(=O)C(C(F)(F)F)(C(F)(F)F)F
105923-79-3,DTXSID00909827,C1=CC(=C(C=C1[N+](=O)[O-])Br)NC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)F
