CASRN,DTXSID,Name,Species,Sex,DosingAdj,HalfLife.h,kelim.h,Source,NObs,Multimodal,FittedDist
376-03-4,DTXSID00380031,Perfluorotridecane,,,,782.4,,,,,
376-03-4,DTXSID00380031,Perfluorotridecane,,,,4.943,,,,,
344760-77-6,DTXSID001015591,Perfluorotridecanedioic acid,,,,29070,,,,,
344760-77-6,DTXSID001015591,Perfluorotridecanedioic acid,,,,782.4,,,,,
NOCAS_904579,DTXSID00904579,Perfluorotridecanesulfonate,,,,29070,,,,,
NOCAS_904579,DTXSID00904579,Perfluorotridecanesulfonate,,,,782.4,,,,,
791563-89-8,DTXSID20904576,Perfluorotridecanesulfonic acid,,,,29070,,,,,
791563-89-8,DTXSID20904576,Perfluorotridecanesulfonic acid,,,,782.4,,,,,
862374-87-6,DTXSID20892489,Perfluorotridecanoate,,,,29070,,,,,
862374-87-6,DTXSID20892489,Perfluorotridecanoate,,,,782.4,,,,,
72629-94-8,DTXSID90868151,Perfluorotridecanoic acid,,,,29070,,,,,
72629-94-8,DTXSID90868151,Perfluorotridecanoic acid,,,,782.4,,,,,
376-04-5,DTXSID10880138,Perfluorotridecyl iodide,,,,29070,,,,,
376-04-5,DTXSID10880138,Perfluorotridecyl iodide,,,,782.4,,,,,
359-70-6,DTXSID40189464,Perfluorotriethylamine,,,,52.55,,,,,
359-70-6,DTXSID40189464,Perfluorotriethylamine,,,,4.943,,,,,
6189-00-0,DTXSID00210900,Perfluorotriethylcarbinol,,,,52.55,,,,,
6189-00-0,DTXSID00210900,Perfluorotriethylcarbinol,,,,29070,,,,,
6189-00-0,DTXSID00210900,Perfluorotriethylcarbinol,,,,782.4,,,,,
432-08-6,DTXSID6059990,Perfluorotrihexylamine,,,,29070,,,,,
432-08-6,DTXSID6059990,Perfluorotrihexylamine,,,,782.4,,,,,
307-49-3,DTXSID30335837,Perfluoroundecane,,,,29070,,,,,
307-49-3,DTXSID30335837,Perfluoroundecane,,,,52.55,,,,,
307-49-3,DTXSID30335837,Perfluoroundecane,,,,782.4,,,,,
307-49-3,DTXSID30335837,Perfluoroundecane,,,,4.943,,,,,
77968-31-1,DTXSID90892951,Perfluoroundecane amide betaine,,,,29070,,,,,
77968-31-1,DTXSID90892951,Perfluoroundecane amide betaine,,,,782.4,,,,,
24647-11-8,DTXSID301015590,Perfluoroundecanedioic acid,,,,29070,,,,,
24647-11-8,DTXSID301015590,Perfluoroundecanedioic acid,,,,782.4,,,,,
